Time [s],Value,Parity Error,Framing Error

TX1
01 A4 80 03 00 08 02 00 06 02 01 01 0C 04 00 89 DE
1.227393,'1' (0x01),,
1.2276534375,'164' (0xA4),,
1.227913875,'128' (0x80),,
1.2281743125,'3' (0x03),,
1.22843475,'0' (0x00),,
1.2286951875,'8' (0x08),,
1.228955625,'2' (0x02),,
1.2292160625,'0' (0x00),,
1.2294765,'6' (0x06),,
1.2297369375,'2' (0x02),,
1.229997375,'1' (0x01),,
1.2302578125,'1' (0x01),,
1.23051825,'12' (0x0C),,
1.2307786875,'4' (0x04),,
1.231039125,'0' (0x00),,
1.2312995625,'137' (0x89),,
1.2315600625,'222' (0xDE),,

RX1
1.253998875,'1' (0x01),,
1.254285375,'164' (0xA4),,
1.2545720625,'128' (0x80),,
1.2548588125,'0' (0x00),,
1.2551455,'3' (0x03),,
1.25543225,'8' (0x08),,
1.2557189375,'2' (0x02),,
1.2560056875,'29' (0x1D),,
1.256292375,'6' (0x06),,
1.256579125,'2' (0x02),,
1.2568658125,'1' (0x01),,
1.2571525625,'1' (0x01),,
1.25743925,'12' (0x0C),,
1.257726,'4' (0x04),,
1.2580126875,'0' (0x00),,
1.258299375,\ (0x5C),,
1.258586125,'21' (0x15),,
*************************************************************************

TX2
01 A4 80 03 00 08 02 00 04 02 FF 00 39 1F 00 9F CF
1.478093625,	'1' (0x01),,
1.4783540625, '164' (0xA4),,
1.4786145,	  '128' (0x80),,
1.4788749375,	'3' (0x03),,
1.479135375,	'0' (0x00),,
1.4793958125,	'8' (0x08),,
1.47965625,		'2' (0x02),,
1.4799166875,	'0' (0x00),,
1.480177125,	'4' (0x04),,
1.4804375625,	'2' (0x02),,
1.480698,	  '255' (0xFF),,
1.4809585,		'0' (0x00),,
1.4812189375,	 9  (0x39),,
1.481479375,   '31' (0x1F),,
1.4817398125,	'0' (0x00),,
1.48200025,	  '159' (0x9F),,
1.4822606875, '207' (0xCF),,

RX2
01 A4 80 00 03 2C 02 03 04 02 FF 00 39 1F 24 4D 61 69 6E 73 56 6F 6C 74 20 25 31 20 20 20 20 01 D4 00 01 56 6F 6C 74 20 41 43 20 20 20 20 20 20 20 20 00 42 78
1.546267875,	'1' (0x01),,
1.5465544375, '164' (0xA4),,
1.546841125,  '128' (0x80),,
1.547127875,	'0' (0x00),,
1.5474145625,	'3' (0x03),,
1.5477013125,	 ,  (0x2C),,
1.547988,		'2' (0x02),,
1.54827475,		'3' (0x03),,
1.5485614375,	'4' (0x04),,
1.5488481875,	'2' (0x02),,
1.549134875,  '255' (0xFF),,
1.549421625,	'0' (0x00),,
1.5497083125,	 9  (0x39),,
1.549995,	   '31' (0x1F),,
1.55028175,		 $  (0x24),,
1.5505684375,	 M  (0x4D),,
1.5508551875,	 a  (0x61),,
1.551141875,	 i  (0x69),,
1.551428625,	 n  (0x6E),,
1.5517153125,	 s  (0x73),,
1.5520020625,	 V  (0x56),,
1.55228875,		 o  (0x6F),,
1.5525755,		 l  (0x6C),,
1.5528621875,	 t  (0x74),,
1.5531489375,	' ' (0x20),,
1.553435625,	 %  (0x25),,
1.553722375,	 1  (0x31),,
1.5540090625,	' ' (0x20),,
1.5542958125,	' ' (0x20),,
1.5545825,		' ' (0x20),,
1.55486925,		' ' (0x20),,
1.5551559375,	'1' (0x01),,
1.555442625,  '212' (0xD4),,
1.555729375,	'0' (0x00),,
1.5560160625,	'1' (0x01),,
1.5563028125,	 V  (0x56),,
1.5565895,		 o  (0x6F),,
1.55687625,		 l  (0x6C),,
1.557163,		 t 	(0x74),,
1.5574496875,	' ' (0x20),,
1.557736375,	 A  (0x41),,
1.558023125,	 C  (0x43),,
1.5583098125,	' ' (0x20),,
1.5585965625,	' ' (0x20),,
1.55888325,		' ' (0x20),,
1.55917,		' ' (0x20),,
1.5594566875,	' ' (0x20),,
1.5597434375,	' ' (0x20),,
1.560030125,	' ' (0x20),,
1.560316875,	' ' (0x20),,
1.5606035625,	'0' (0x00),,
1.5608903125,	 B  (0x42),,
1.561177,		 x  (0x78),,
*************************************************************************
