Time [s],Value,Parity Error,Framing Error

TX1
01 A4 80 03 00 08 02 00 06 01 01 01 0C 04 00 BA DE
01 A4 80 00 03 0E 02 03 05 02 FF FF 0A 02 06 13 48 72 10 40 30 24 1D
2.3718185625,'1' (0x01),,
2.372105125,'164' (0xA4),,
2.3723918125,'128' (0x80),,
2.3726785625,'0' (0x00),,
2.37296525,'3' (0x03),,
2.3732519375,'14' (0x0E),,
2.3735386875,'2' (0x02),,
2.37395575,'3' (0x03),,
2.3742424375,'5' (0x05),,
2.3745291875,'2' (0x02),,
2.374815875,'255' (0xFF),,
2.375102625,'255' (0xFF),,
2.375389375,\n (0x0A),,
2.375676,'2' (0x02),,
2.37596275,'6' (0x06),,
2.3762494375,'19' (0x13),,		(ID2: 134872104030)
2.3765361875,H (0x48),,
2.376822875,r (0x72),,
2.377109625,'16' (0x10),,
2.377396375,@ (0x40),,
2.3776830625,0 (0x30),,
2.37796975,$ (0x24),,
2.3782565,'29' (0x1D),,
**********************************************************************


TX6
01 A4 80 03 00 08 02 00 05 03 FF FF 0A 02 00 C5 17
2.386173375,'1' (0x01),,
2.3864338125,'164' (0xA4),,
2.38669425,'128' (0x80),,
2.3869546875,'3' (0x03),,
2.387215125,'0' (0x00),,
2.3874755625,'8' (0x08),,
2.387736,'2' (0x02),,
2.3879964375,'0' (0x00),,
2.388256875,'5' (0x05),,
2.3885173125,'3' (0x03),,
2.38877775,'255' (0xFF),,
2.3890381875,'255' (0xFF),,
2.389298625,\n (0x0A),,
2.389559125,'2' (0x02),,
2.3898195625,'0' (0x00),,
2.39008,'197' (0xC5),,
2.3903404375,'23' (0x17),,

RX6
01 A4 80 00 03 0E 02 03 05 03 FF FF 0A 02 06 15 18 71 03 70 32 CD 44
2.419961,'1' (0x01),,
2.4202475625,'164' (0xA4),,
2.42053425,'128' (0x80),,
2.420821,'0' (0x00),,
2.4211076875,'3' (0x03),,
2.4213944375,'14' (0x0E),,
2.421681125,'2' (0x02),,
2.4219678125,'3' (0x03),,
2.4222545625,'5' (0x05),,
2.4225413125,'3' (0x03),,
2.422828,'255' (0xFF),,
2.42311475,'255' (0xFF),,
2.4234014375,\n (0x0A),,
2.423688125,'2' (0x02),,
2.423974875,'6' (0x06),,
2.4242615625,'21' (0x15),,
2.4245483125,'24' (0x18),,
2.424835,q (0x71),,
2.42512175,'3' (0x03),,
2.4254084375,p (0x70),,
2.4256951875,2 (0x32),,
2.425981875,'205' (0xCD),,
2.426268625,D (0x44),,
**********************************************************************


TX7
01 A4 80 03 00 08 02 00 05 01 FF FF 01 0D 00 15 62
2.4435485625,'1' (0x01),,
2.443809,'164' (0xA4),,
2.4440694375,'128' (0x80),,
2.444329875,'3' (0x03),,
2.4445903125,'0' (0x00),,
2.44485075,'8' (0x08),,
2.4451111875,'2' (0x02),,
2.445371625,'0' (0x00),,
2.4456320625,'5' (0x05),,
2.4458925,'1' (0x01),,
2.4461529375,'255' (0xFF),,
2.446413375,'255' (0xFF),,
2.4466738125,'1' (0x01),,
2.44693425,\r (0x0D),,
2.4471946875,'0' (0x00),,
2.447455125,'21' (0x15),,
2.447715625,b (0x62),,

RX7
2.4863490625,'1' (0x01),,
2.486635625,'164' (0xA4),,
2.486922375,'128' (0x80),,
2.4872090625,'0' (0x00),,
2.48749575,'3' (0x03),,
2.4877825,\t (0x09),,
2.4880691875,'2' (0x02),,
2.4883559375,'3' (0x03),,
2.488642625,'5' (0x05),,
2.488929375,'1' (0x01),,
2.4892160625,'255' (0xFF),,
2.4895028125,'255' (0xFF),,
2.4899459375,'1' (0x01),,
2.490232625,\r (0x0D),,
2.4905193125,'1' (0x01),,
2.4908060625,'1' (0x01),,
2.4910928125,r (0x72),,
2.4913795,E (0x45),,
**********************************************************************


TX8
01 A4 80 03 00 08 02 00 05 01 07 FF 03 00 00 91 66
2.49620975,'1' (0x01),,
2.4964701875,'164' (0xA4),,
2.496730625,'128' (0x80),,
2.4969910625,'3' (0x03),,
2.4972515,'0' (0x00),,
2.4975119375,'8' (0x08),,
2.497772375,'2' (0x02),,
2.4980328125,'0' (0x00),,
2.49829325,'5' (0x05),,
2.4985536875,'1' (0x01),,
2.498814125,'7' (0x07),,
2.4990745625,'255' (0xFF),,
2.499335,'3' (0x03),,
2.4995954375,'0' (0x00),,
2.499855875,'0' (0x00),,
2.500116375,'145' (0x91),,
2.5003768125,f (0x66),,

RX8
01 A4 80 00 03 0A 02 03 05 01 07 FF 03 00 02 5B 00 F4 7F
2.5154378125,'1' (0x01),,
2.5157244375,'164' (0xA4),,
2.516011125,'128' (0x80),,
2.5162978125,'0' (0x00),,
2.5165845625,'3' (0x03),,
2.5168713125,\n (0x0A),,
2.517158,'2' (0x02),,
2.5174446875,'3' (0x03),,
2.5177314375,'5' (0x05),,
2.518018125,'1' (0x01),,
2.518304875,'7' (0x07),,
2.5185915625,'255' (0xFF),,
2.5188783125,'3' (0x03),,
2.519165,'0' (0x00),,
2.51945175,'2' (0x02),,
2.5197384375,[ (0x5B),,			(Current[A] #1)
2.5200251875,'0' (0x00),,
2.520311875,'244' (0xF4),,
2.520598625,'127' (0x7F),,
**********************************************************************


TX9
01 A4 80 03 00 08 02 00 05 01 06 FF 04 00 00 90 EA
2.53665625,'1' (0x01),,
2.5369166875,'164' (0xA4),,
2.537177125,'128' (0x80),,
2.5374375625,'3' (0x03),,
2.537698,'0' (0x00),,
2.5379584375,'8' (0x08),,
2.538218875,'2' (0x02),,
2.5384793125,'0' (0x00),,
2.53873975,'5' (0x05),,
2.5390001875,'1' (0x01),,
2.539260625,'6' (0x06),,
2.5395210625,'255' (0xFF),,
2.5397815,'4' (0x04),,
2.540042,'0' (0x00),,
2.5403024375,'0' (0x00),,
2.540562875,'144' (0x90),,
2.5408233125,'234' (0xEA),,

RX9
01 A4 80 00 03 0A 02 03 05 01 06 FF 04 00 02 23 00 F4 F8
2.5620424375,'1' (0x01),,
2.562329,'164' (0xA4),,
2.56261575,'128' (0x80),,
2.5629024375,'0' (0x00),,
2.563189125,'3' (0x03),,
2.563475875,\n (0x0A),,
2.5637625625,'2' (0x02),,
2.5640493125,'3' (0x03),,
2.564336,'5' (0x05),,
2.56462275,'1' (0x01),,
2.5649094375,'6' (0x06),,
2.5651961875,'255' (0xFF),,
2.5654829375,'4' (0x04),,
2.565769625,'0' (0x00),,
2.5660563125,'2' (0x02),,
2.5663430625,# (0x23),,			(Temperature #1)
2.56662975,'0' (0x00),,
2.5669165,'244' (0xF4),,
2.5672031875,'248' (0xF8),,
**********************************************************************


TX10
01 A4 80 03 00 08 02 00 05 01 06 FF 39 00 00 5C 7B
2.5761911875,'1' (0x01),,
2.576451625,'164' (0xA4),,
2.5767120625,'128' (0x80),,
2.5769725,'3' (0x03),,
2.5772329375,'0' (0x00),,
2.577493375,'8' (0x08),,
2.5777538125,'2' (0x02),,
2.5780143125,'0' (0x00),,
2.57827475,'5' (0x05),,
2.5785351875,'1' (0x01),,
2.578795625,'6' (0x06),,
2.5790560625,'255' (0xFF),,
2.5793165,9 (0x39),,
2.5795769375,'0' (0x00),,
2.579837375,'0' (0x00),,
2.5800978125,\ (0x5C),,
2.58035825,{ (0x7B),,

RX10
01 A4 80 00 03 0A 02 03 05 01 06 FF 39 00 02 C4 00 C1 DE
2.60593625,'1' (0x01),,
2.6062228125,'164' (0xA4),,
2.6065095625,'128' (0x80),,
2.60679625,'0' (0x00),,
2.607083,'3' (0x03),,
2.6073696875,\n (0x0A),,
2.607656375,'2' (0x02),,
2.607943125,'3' (0x03),,
2.608229875,'5' (0x05),,
2.6085165625,'1' (0x01),,
2.60880325,'6' (0x06),,
