Time [s],Value,Parity Error,Framing Error

TX1
01 A4 80 03 00 08 02 00 01 FF 00 00 01 1A 00 FB 19
1.8600111875,	'3' (0x03),,
1.8602979375,	 (  (0x28),,
1.860584625,	'2' (0x02),,
1.8608713125,	'3' (0x03),,
1.8611580625,	'1' (0x01),,
1.86144475,   '255' (0xFF),,
1.8617315625,	'0' (0x00),,
1.86201825,		'0' (0x00),,
1.8623049375,	'1' (0x01),,
1.862591625,   '28' (0x1C),,
1.862878375,	' ' (0x20),,
1.8631650625,	'0' (0x00),,	(Site)
1.8634518125,	'0' (0x00),,
1.8637385,		'0' (0x00),,
1.86402525,		'0' (0x00),,
1.8643119375,	'0' (0x00),,
1.8645986875,	'0' (0x00),,
1.864885375,	'0' (0x00),,
1.865172125,	'0' (0x00),,
1.8654588125,	'0' (0x00),,
1.8657455,		'0' (0x00),,
1.86603225,		'0' (0x00),,
1.866319,		'0' (0x00),,
1.8666056875,	'0' (0x00),,
1.866892375,	'0' (0x00),,
1.867179125,	'0' (0x00),,
1.8674658125,	'0' (0x00),,
1.8677525625,	'0' (0x00),,
1.86803925,		'0' (0x00),,
1.868326,		'0' (0x00),,
1.8686126875,	'0' (0x00),,
1.8688994375,	'0' (0x00),,
1.869186125,	'0' (0x00),,
1.8694728125,	'0' (0x00),,
1.8697595625,	'0' (0x00),,
1.8700463125,	'0' (0x00),,
1.870333,		'0' (0x00),,
1.8706196875,	'0' (0x00),,
1.8709064375,	'0' (0x00),,
1.871193125,	'0' (0x00),,
1.871479875,	'0' (0x00),,
1.8717665625,	'0' (0x00),,
1.8720533125,	'0' (0x00),,
1.87234,		 9  (0x39),,
1.87262675,	  '237' (0xED),,
*************************************************************************

TX6
01 A4 80 03 00 08 02 00 01 FF 00 00 01 1D 00 CB 1B
1.9287325625,	'1' (0x01),,
1.928993,	  '164' (0xA4),,
1.9292534375, '128' (0x80),,
1.929513875,	'3' (0x03),,
1.9297743125,	'0' (0x00),,
1.93003475,		'8' (0x08),,
1.9302951875,	'2' (0x02),,
1.930555625,	'0' (0x00),,
1.9308160625,	'1' (0x01),,
1.9310765,	  '255' (0xFF),,
1.9313369375,	'0' (0x00),,
1.931597375,	'0' (0x00),,
1.9318578125,	'1' (0x01),,
1.93211825,	   '29' (0x1D),,
1.9323786875,	'0' (0x00),,
1.9326391875, '203' (0xCB),,
1.932899625,   '27' (0x1B),,

RX6
01 A4 80 00 03 18 02 03 01 FF 00 00 01 1D 10 31 35 33 34 30 39 30 30 31 36 33 32 00 00 00 00 44 8A
1.9482158125,	'1' (0x01),,
1.948502375,  '164' (0xA4),,
1.9487890625, '128' (0x80),,
1.9490758125,	'0' (0x00),,
1.9493625,		'3' (0x03),,
1.94964925,	   '24' (0x18),,
1.9499359375,	'2' (0x02),,
1.9502226875,	'3' (0x03),,
1.950509375,	'1' (0x01),,
1.950796125,  '255' (0xFF),,
1.951082875,	'0' (0x00),,
1.9513695625,	'0' (0x00),,
1.95165625,		'1' (0x01),,
1.951943,      '29' (0x1D),,
1.9522296875,  '16' (0x10),,
1.952516375,	 1  (0x31),,	(Serial Number)
1.952803125,	 5  (0x35),,
1.9530898125,	 3  (0x33),,
1.9533765625,	 4  (0x34),,
1.95366325,		 0  (0x30),,
1.95395,		 9  (0x39),,
1.9542366875,	 0  (0x30),,
