Time [s],Value,Parity Error,Framing Error


TX1
01 A4 80 03 00 08 02 00 01 FF 00 00 01 18 00 9B 18
1.3515333125,'1' (0x01),,
1.35179375,'255' (0xFF),,
1.3520541875,'255' (0xFF),,
1.3523146875,'3' (0x03),,
1.352575125,'3' (0x03),,
1.3528355625,'0' (0x00),,
1.353096,'181' (0xB5),,
1.3533564375,'161' (0xA1),,

RX8
1.3856141875,'1' (0x01),,
1.38590075,'164' (0xA4),,
1.3861875,'128' (0x80),,
1.3864741875,'0' (0x00),,
1.3867609375,'3' (0x03),,
1.387047625,'8' (0x08),,
1.387334375,'2' (0x02),,
1.3876210625,'20' (0x14),,
1.38790775,'3' (0x03),,
1.3881945,'1' (0x01),,
1.3884811875,'255' (0xFF),,
1.3887679375,'255' (0xFF),,
1.3890546875,'3' (0x03),,
1.389341375,'3' (0x03),,
1.3896280625,'0' (0x00),,
1.3899148125,\n (0x0A),,
1.3902015,'170' (0xAA),,
***********************************************************************


TX9
01 A4 80 03 00 08 02 00 03 01 FF FF 08 20 00 47 C9
1.4020589375,'1' (0x01),,
1.402319375,'164' (0xA4),,
1.4025798125,'128' (0x80),,
1.40284025,'3' (0x03),,
1.4031006875,'0' (0x00),,
1.403361125,'8' (0x08),,
1.4036215625,'2' (0x02),,
1.403882,'0' (0x00),,
1.4041425,'3' (0x03),,
1.4044029375,'1' (0x01),,
1.404663375,'255' (0xFF),,
1.4049238125,'255' (0xFF),,
1.40518425,'8' (0x08),,
1.4054446875,' ' (0x20),,
1.405705125,'0' (0x00),,
1.4059655625,G (0x47),,
1.406226,'201' (0xC9),,

RX9
01 A4 80 00 03 09 02 03 03 01 FF FF 08 20 01 00 0D 97
1.42820475,'1' (0x01),,
1.4284913125,'164' (0xA4),,
1.428778,'128' (0x80),,
1.42906475,'0' (0x00),,
1.4293514375,'3' (0x03),,
1.4296381875,\t (0x09),,
1.429924875,'2' (0x02),,
1.4302115625,'3' (0x03),,
1.4304983125,'3' (0x03),,
1.430785,'1' (0x01),,
1.43107175,'255' (0xFF),,
1.4313585,'255' (0xFF),,
1.4316451875,'8' (0x08),,
1.431931875,' ' (0x20),,
1.432218625,'1' (0x01),,
1.4325053125,'0' (0x00),,
1.4327920625,\r (0x0D),,
1.43307875,'151' (0x97),,
***********************************************************************


TX10
1.452246,'1' (0x01),,
1.4525064375,'164' (0xA4),,
1.452766875,'128' (0x80),,
1.4530273125,'3' (0x03),,
1.45328775,'0' (0x00),,
1.4535481875,'8' (0x08),,
1.453808625,'2' (0x02),,
1.4540690625,'0' (0x00),,
1.4543295,'3' (0x03),,
1.4545899375,'1' (0x01),,
1.454850375,'255' (0xFF),,
1.4551108125,'255' (0xFF),,
1.45537125,'3' (0x03),,
1.4556316875,'5' (0x05),,
1.455892125,'0' (0x00),,
1.4561525625,'21' (0x15),,
1.4564130625,'162' (0xA2),,

RX10
