Time [s],Value,Parity Error,Framing Error

TX1
3.433015125,'2' (0x02),,
3.433301875,'14' (0x0E),,
3.4335885625,'4' (0x04),,
3.4338753125,'255' (0xFF),,
3.4341620625,'255' (0xFF),,
3.43444875,'255' (0xFF),,
3.4347355,'1' (0x01),,
3.4350221875,'20' (0x14),,
3.435308875,'0' (0x00),,
3.435595625,W (0x57),,
3.4358823125,'230' (0xE6),,
*************************************************************************

TX6
01 A4 80 03 00 08 02 07 04 FF FF FF 01 08 00 BD 25
3.44410575,'1' (0x01),,
3.4443661875,'164' (0xA4),,
3.444626625,'128' (0x80),,
3.4448870625,'3' (0x03),,
3.4451475,'0' (0x00),,
3.4454079375,'8' (0x08),,
3.445668375,'2' (0x02),,
3.4459288125,'7' (0x07),,
3.44618925,'4' (0x04),,
3.4464496875,'255' (0xFF),,
3.446710125,'255' (0xFF),,
3.4469705625,'255' (0xFF),,
3.4472310625,'1' (0x01),,
3.4474915,'8' (0x08),,
3.4477519375,'0' (0x00),,
3.448012375,'189' (0xBD),,
3.4482728125,% (0x25),,

RX6
3.467734,'1' (0x01),,
3.4680205625,'164' (0xA4),,
3.4683073125,'128' (0x80),,
3.468594,'0' (0x00),,
3.46888075,'3' (0x03),,
3.4691674375,\t (0x09),,
3.4694541875,'2' (0x02),,
3.469740875,'12' (0x0C),,
3.470027625,'4' (0x04),,
3.4703143125,'255' (0xFF),,
3.4706010625,'255' (0xFF),,
3.4708878125,'255' (0xFF),,
3.4711745,'1' (0x01),,
3.4714611875,'8' (0x08),,
3.471747875,'1' (0x01),,
3.472034625,'6' (0x06),,
3.4723213125,B (0x42),,
3.4726080625,'139' (0x8B),,
*************************************************************************

TX7
01 A4 80 03 00 08 02 07 04 FF FF FF 01 14 00 7D 2D
3.484213625,'1' (0x01),,
3.4844740625,'164' (0xA4),,
3.4847345,'128' (0x80),,
3.4849949375,'3' (0x03),,
3.485255375,'0' (0x00),,
3.4855158125,'8' (0x08),,
3.48577625,'2' (0x02),,
3.4860366875,'7' (0x07),,
3.486297125,'4' (0x04),,
3.4865575625,'255' (0xFF),,
3.486818,'255' (0xFF),,
3.4870784375,'255' (0xFF),,
3.487338875,'1' (0x01),,
3.4875993125,'20' (0x14),,
3.48785975,'0' (0x00),,
3.4881201875,} (0x7D),,
3.488380625,- (0x2D),,

RX7
3.507717875,'1' (0x01),,
3.5080045,'164' (0xA4),,
3.5082911875,'128' (0x80),,
3.5085779375,'0' (0x00),,
3.508864625,'3' (0x03),,
3.5091513125,'8' (0x08),,
3.5094380625,'2' (0x02),,
3.50972475,'15' (0x0F),,
3.5100115,'4' (0x04),,
3.5102981875,'255' (0xFF),,
3.5105849375,'255' (0xFF),,
3.5108716875,'255' (0xFF),,
3.511158375,'1' (0x01),,
3.5114450625,'20' (0x14),,
3.51173175,'0' (0x00),,
3.5120185,'155' (0x9B),,
3.5123051875,' (0x27),,
*************************************************************************

TX8
01 A4 80 03 00 08 02 00 04 FF FF 00 36 1F 00 71 EA
3.52419125,		'1' (0x01),,
3.5244516875, '164' (0xA4),,
3.524712125,  '128' (0x80),,
3.5249725625,	'3' (0x03),,
3.525233,		'0' (0x00),,
3.5254934375,	'8' (0x08),,
3.525753875,	'2' (0x02),,
3.5260143125,	'0' (0x00),,
3.52627475,		'4' (0x04),,
3.5265351875, '255' (0xFF),,
3.526795625,  '255' (0xFF),,
3.5270560625,	'0' (0x00),,
3.5273165,		 6  (0x36),,
3.527577,	   '31' (0x1F),,
3.5278374375,	'0' (0x00),,
3.528097875,	 q  (0x71),,
3.5283583125, '234' (0xEA),,

RX8
01 A4 80 00 03 2C 02 03 04 FF FF 00 36 1F 24 4D 61 69 6E 73 46 61 69 6C 20 20 20 20 20 20 20 01 00 00 01 55 6E 69 74 28 73 29 20 20 20 20 20 20 20 20 00 65 0F
3.5462681875,	'1' (0x01),,
3.54655475,	  '164' (0xA4),,
3.5468415,	  '128' (0x80),,
3.5471281875,	'0' (0x00),,
3.5474149375,	'3' (0x03),,
3.547701625,	 ,  (0x2C),,
3.5479883125,	'2' (0x02),,
3.5482750625,	'3' (0x03),,
3.54856175,		'4' (0x04),,
3.5488485,	  '255' (0xFF),,
3.54913525,	  '255' (0xFF),,
3.5494219375,	'0' (0x00),,
3.549708625,	 6  (0x36),,
3.549995375,   '31' (0x1F),,
3.5502820625,	 $  (0x24),,
3.5505688125,	 M  (0x4D),,
3.5508555,		 a  (0x61),,
3.55114225,		 i  (0x69),,
3.5514289375,	 n  (0x6E),,
3.551715625,	 s  (0x73),,
3.552002375,	 F  (0x46),,
3.5522890625,	 a  (0x61),,
3.5525758125,	 i  (0x69),,
3.5528625,		 l  (0x6C),,
3.55314925,		' ' (0x20),,
3.5534359375,	' ' (0x20),,
3.5537226875,	' ' (0x20),,
3.554009375,	' ' (0x20),,
3.554296125,	' ' (0x20),,
3.5545828125,	' ' (0x20),,
3.5548695,		' ' (0x20),,
3.55515625,		'1' (0x01),,		(Alarm monitor:  	0x01 - no Alarm,	 0x02 - Minor Alarm		0x03 - Major Alarm		0x04 - Off Alarm monitor)
3.5554429375,	'0' (0x00),,		(LoByte MainsFail Unit(s))
3.5557296875,	'0' (0x00),,		(HiByte MainsFail Unit(s))
3.556016375,	'1' (0x01),,		(Alarm monitor: 	0x01 - включено, 	0x00 - выключено)
3.556303125,	 U  (0x55),,
3.5565898125,	 n  (0x6E),,
3.5568765625,	 i  (0x69),,
3.55716325,		 t  (0x74),,
3.55745,		 (  (0x28),,
3.5577366875,	 s  (0x73),,
3.5580234375,	 )  (0x29),,
3.558310125,	' ' (0x20),,
3.5585968125,	' ' (0x20),,
3.5588835625,	' ' (0x20),,
3.55917025,		' ' (0x20),,
3.559457,		' ' (0x20),,
3.5597436875,	' ' (0x20),,
3.5600304375,	' ' (0x20),,
3.560317125,	' ' (0x20),,
3.560603875,	'0' (0x00),,
3.5608905625,	 e  (0x65),,
3.5611773125,  '15' (0x0F),,
*************************************************************************
