Time [s],Value,Parity Error,Framing Error


TX3
01 A4 80 03 00 08 02 00 05 FF FF 00 35 1F 00 B1 0A
3.2797328125,'1' (0x01),,
3.27999325,'164' (0xA4),,
3.2802536875,'128' (0x80),,
3.2805141875,'3' (0x03),,
3.280774625,'0' (0x00),,
3.2810350625,'8' (0x08),,
3.2812955,'2' (0x02),,
3.2815559375,'0' (0x00),,
3.281816375,'5' (0x05),,
3.2820768125,'255' (0xFF),,
3.28233725,'255' (0xFF),,
3.2825976875,'0' (0x00),,
3.282858125,1 (0x31),,
3.2831185625,'31' (0x1F),,
3.283379,'0' (0x00),,
3.2836394375,p (0x70),,
3.283899875,K (0x4B),,


RX5
01 A4 80 00 03 2C 02 03 05 FF FF 00 31 1F 24 52 65 63 74 2E 20 43 61 70 61 63 69 74 79 20 20 04 00 00 00 25 20 20 20 20 20 20 20 20 20 20 20 20 20 20 00 D9 D9
3.2962259375,	'1' (0x01),,
3.2965125,	  '164' (0xA4),,
3.29679925,   '128' (0x80),,
3.2970859375,	'0' (0x00),,
3.2973726875,	'3' (0x03),,
3.297659375,	 ,  (0x2C),,
3.2979460625,	'2' (0x02),,
3.2982328125,	'3' (0x03),,
3.2985195,		'5' (0x05),,
3.29880625,   '255' (0xFF),,
3.299093,	  '255' (0xFF),,
3.2993796875,	'0' (0x00),,
3.299666375,	 1  (0x31),,
3.299953125,   '31' (0x1F),,
3.3002398125,	 $  (0x24),,
3.3005265,		 R  (0x52),,
3.30081325,		 e  (0x65),,
3.3010999375,	 c  (0x63),,
3.3013866875,	 t  (0x74),,
3.301673375,	 .  (0x2E),,
3.3019600625,	' ' (0x20),,
3.3022468125,	 C  (0x43),,
3.3025335,		 a  (0x61),,
3.30282025,		 p  (0x70),,
3.3031069375,	 a  (0x61),,
3.3033936875,	 c  (0x63),,
3.303680375,	 i  (0x69),,
3.3039670625,	 t  (0x74),,
3.3042538125,	 y  (0x79),,
3.3045405,		' ' (0x20),,
3.30482725,		' ' (0x20),,
3.3051139375,	'4' (0x04),,		(Alarm monitor: 	0x01 - no Alarm,	0x02 - Minor Alarm,		0x03 - Major Alarm		0x04 - Off Alarm monitor)
3.3054006875,	'0' (0x00),,		(LoByte Rect. Capacity %)
3.305687375,	'0' (0x00),,		(HiByte Rect. Capacity %)
3.305974125,	'0' (0x00),,		(Alarm monitor: 	0x01 - включено, 	0x00 - выключено)
3.3062608125,	 %  (0x25),,
3.3065475,		' ' (0x20),,
3.30683425,		' ' (0x20),,
3.3071209375,	' ' (0x20),,
3.3074076875,	' ' (0x20),,
3.307694375,	' ' (0x20),,
3.3079810625,	' ' (0x20),,
3.3082678125,	' ' (0x20),,
3.3085545,		' ' (0x20),,
3.30884125,		' ' (0x20),,
3.3091279375,	' ' (0x20),,
3.3094146875,	' ' (0x20),,
3.309701375,	' ' (0x20),,
3.309988125,	' ' (0x20),,
3.3102748125,	' ' (0x20),,
3.3105615,		'0' (0x00),,
3.31084825,   '217' (0xD9),,
3.3111349375, '217' (0xD9),,
*************************************************************************

TX6
01 A4 80 03 00 08 02 00 05 FF FF 00 43 1F 00 6B EB
3.3197624375,'1' (0x01),,
3.320022875,'164' (0xA4),,
3.320283375,'128' (0x80),,
3.3205438125,'3' (0x03),,
3.32080425,'0' (0x00),,
3.3210646875,'8' (0x08),,
3.321325125,'2' (0x02),,
3.3215855625,'0' (0x00),,
3.321846,'5' (0x05),,
3.3221064375,'255' (0xFF),,
3.322366875,'255' (0xFF),,
3.3226273125,'0' (0x00),,
3.32288775,C (0x43),,
3.3231481875,'31' (0x1F),,
3.323408625,'0' (0x00),,
3.3236690625,k (0x6B),,
3.3239295,'235' (0xEB),,


RX6
01 A4 80 00 03 2C 02 03 05 FF FF 00 43 1F 24 52 65 63 74 43 75 72 72 53 68 61 72 65 45 72 72 04 00 00 00 25 20 20 20 20 20 20 20 20 20 20 20 20 20 20 00 F6 31
