Time [s],Value,Parity Error,Framing Error

TX1
01 A4 80 03 00 08 02 00 06 01 01 01 0C 04 00 BA DE
2.0197668125,'1' (0x01),,
2.0200273125,'164' (0xA4),,
2.02028775,'128' (0x80),,
2.0205481875,'3' (0x03),,
2.020808625,'0' (0x00),,
2.0210690625,'8' (0x08),,
2.0213295,'2' (0x02),,
2.0215899375,'0' (0x00),,
2.021850375,'6' (0x06),,
2.0221108125,'1' (0x01),,
2.02237125,'1' (0x01),,
2.0226316875,'1' (0x01),,
2.022892125,'12' (0x0C),,
2.0231525625,'4' (0x04),,
2.023413,'0' (0x00),,
2.0236734375,'186' (0xBA),,
2.023933875,'222' (0xDE),,

RX1
2.056652,'1' (0x01),,
2.0569385,'164' (0xA4),,
2.05722525,'128' (0x80),,
2.0575119375,'0' (0x00),,
2.057798625,'3' (0x03),,
2.058085375,'12' (0x0C),,
2.0583720625,'2' (0x02),,
2.0586588125,'3' (0x03),,
2.058971625,'6' (0x06),,
2.0592583125,'1' (0x01),,
2.059545,'1' (0x01),,
2.05983175,'1' (0x01),,
2.0601184375,'12' (0x0C),,
2.0604051875,'4' (0x04),,
2.060691875,'4' (0x04),,
2.060978625,'222' (0xDE),,
2.0612653125,'7' (0x07),,
2.0615520625,'2' (0x02),,
2.06183875,'5' (0x05),,
2.0621255,'183' (0xB7),,
2.0624121875,'162' (0xA2),,
*************************************************************************


TX2
01 A4 80 03 00 08 02 00 04 01 FF 00 39 1F 00 AC CF
2.2417146875,	'1' (0x01),,
2.241975125,  '164' (0xA4),,
2.2422355625, '128' (0x80),,
2.2424960625,	'3' (0x03),,
2.2427565,		'0' (0x00),,
2.2430169375,	'8' (0x08),,
2.243277375,	'2' (0x02),,
2.2435378125,	'0' (0x00),,
2.24379825,		'4' (0x04),,
2.2440586875,	'1' (0x01),,
2.244319125,  '255' (0xFF),,
2.2445795625,	'0' (0x00),,
2.24484,		 9  (0x39),,
2.2451004375,  '31' (0x1F),,
2.245360875,	'0' (0x00),,
2.2456213125, '172' (0xAC),,
2.24588175,	  '207' (0xCF),,


RX2
01 A4 80 00 03 2C 02 03 04 01 FF 00 39 1F 24 4D 61 69 6E 73 56 6F 6C 74 20 25 31 20 20 20 20 01 D0 00 01 56 6F 6C 74 20 41 43 20 20 20 20 20 20 20 20 00 75 8E
2.28008275,		'1' (0x01),,
2.28036925,   '164' (0xA4),,
2.280656,	  '128' (0x80),,
2.28094275,		'0' (0x00),,
2.2812294375,	'3' (0x03),,
2.281516125,	 ,  (0x2C),,
2.281802875,	'2' (0x02),,
2.2820895625,	'3' (0x03),,
2.2823763125,	'4' (0x04),,
2.282663,		'1' (0x01),,
2.28294975,   '255' (0xFF),,
2.2832365,		'0' (0x00),,
2.2835231875,	 9  (0x39),,
2.283809875,   '31' (0x1F),,
2.284096625,	 $  (0x24),,
2.2843833125,	 M  (0x4D),,
2.28467,		 a  (0x61),,
2.28495675,		 i  (0x69),,
2.2852434375,	 n  (0x6E),,
2.2855301875,	 s  (0x73),,
2.2858169375,	 V  (0x56),,
2.286103625,	 o  (0x6F),,
2.2863903125,	 l  (0x6C),,
2.2866770625,	 t  (0x74),,
2.28696375,		' ' (0x20),,
2.2872505,		 %  (0x25),,
2.2875371875,	 1  (0x31),,
2.2878239375,	' ' (0x20),,
2.288110625,	' ' (0x20),,
2.288397375,	' ' (0x20),,
2.2886840625,	' ' (0x20),,
2.2889708125,	'1' (0x01),,		(Alarm monitor:  	0x01 - no Alarm,	 0x08 - Major low		0x09 - Minor low		0x0B - Minor high, 	0x0A - Major high, 	0x04 - Off Alarm monitor)
2.2892575,	  '208' (0xD0),,		(LoByte MainsVolt %1 Volt AC)
2.28954425,		'0' (0x00),,		(HiByte MainsVolt %1 Volt AC)
2.2898309375,	'1' (0x01),,		(Alarm monitor: 	0x01 - включено, 	0x00 - выключено)
2.2901176875,	 V  (0x56),,
2.290404375,	 o  (0x6F),,
2.2906910625,	 l  (0x6C),,
2.2909778125,	 t  (0x74),,
2.2912645,		' ' (0x20),,
2.29155125,		 A  (0x41),,
2.2918379375,	 C  (0x43),,
2.2921246875,	' ' (0x20),,
2.292411375,	' ' (0x20),,
2.292698125,	' ' (0x20),,
2.2929848125,	' ' (0x20),,
2.2932715625,	' ' (0x20),,
2.29355825,		' ' (0x20),,
2.293845,		' ' (0x20),,
2.2941316875,	' ' (0x20),,
2.294418375,	'0' (0x00),,
2.294705125,	 u  (0x75),,
2.294991875,  '142' (0x8E),,
